n_s,frac_toxic,frac_civil
36,0.1388888888888889,0.8611111111111112
34,0.17647058823529413,0.8235294117647058
22,0.18181818181818182,0.8181818181818182
22,0.18181818181818182,0.8181818181818182
19,0.42105263157894735,0.5789473684210527
18,0.1111111111111111,0.8888888888888888
18,0.3888888888888889,0.6111111111111112
15,0.26666666666666666,0.7333333333333333
14,0.5714285714285714,0.42857142857142855
13,0.23076923076923078,0.7692307692307693
13,0.0,1.0
13,0.46153846153846156,0.5384615384615384
12,0.16666666666666666,0.8333333333333334
12,0.0,1.0
11,0.45454545454545453,0.5454545454545454
10,0.4,0.6
9,0.3333333333333333,0.6666666666666666
9,0.2222222222222222,0.7777777777777778
9,0.4444444444444444,0.5555555555555556
8,0.0,1.0
8,0.25,0.75
7,0.42857142857142855,0.5714285714285714
7,0.42857142857142855,0.5714285714285714
6,0.0,1.0
6,0.6666666666666666,0.3333333333333333
6,0.0,1.0
6,0.3333333333333333,0.6666666666666666
6,0.16666666666666666,0.8333333333333334
6,1.0,0.0
5,0.4,0.6
5,0.4,0.6
5,0.0,1.0
5,0.2,0.8
5,0.0,1.0
5,0.2,0.8
4,0.5,0.5
4,0.0,1.0
4,0.5,0.5
4,0.0,1.0
3,0.0,1.0
3,0.3333333333333333,0.6666666666666666
3,0.0,1.0
3,0.0,1.0
3,1.0,0.0
3,0.6666666666666666,0.3333333333333333
3,0.0,1.0
2,0.5,0.5
2,0.5,0.5
2,0.5,0.5
2,0.0,1.0
2,0.0,1.0
2,0.0,1.0
2,0.0,1.0
2,1.0,0.0
2,0.0,1.0
2,0.0,1.0
2,0.0,1.0
2,0.0,1.0
2,0.0,1.0
1,0.0,1.0
1,0.0,1.0
1,0.0,1.0
1,1.0,0.0
1,1.0,0.0
1,0.0,1.0
1,0.0,1.0
1,0.0,1.0
1,0.0,1.0
1,0.0,1.0
1,0.0,1.0
1,0.0,1.0
1,0.0,1.0
1,0.0,1.0
1,1.0,0.0
1,0.0,1.0
1,0.0,1.0
1,0.0,1.0
1,1.0,0.0
1,1.0,0.0
1,0.0,1.0
1,0.0,1.0
